Project,Milestone,Task,TaskID,DependsOn,EstimatedHours,Priority,StartDate,DueDate,Owner
Website Redesign,Milestone 1,Task 1 for Milestone 1,T1,,4,High,2025-08-24,2025-08-31,David
Website Redesign,Milestone 1,Task 2 for Milestone 1,T2,T1,9,Medium,2025-08-20,2025-08-21,David
Website Redesign,Milestone 1,Task 3 for Milestone 1,T3,,10,Low,2025-09-08,2025-09-14,Bob
Website Redesign,Milestone 2,Task 4 for Milestone 2,T4,,7,High,2025-08-19,2025-08-25,Charlie
Website Redesign,Milestone 2,Task 5 for Milestone 2,T5,T4,4,Low,2025-09-01,2025-09-07,David
Website Redesign,Milestone 2,Task 6 for Milestone 2,T6,,6,High,2025-08-23,2025-08-29,Bob
Website Redesign,Milestone 3,Task 7 for Milestone 3,T7,,19,Low,2025-08-20,2025-08-26,Alice
Website Redesign,Milestone 3,Task 8 for Milestone 3,T8,T7,6,High,2025-09-04,2025-09-06,Charlie
Website Redesign,Milestone 4,Task 9 for Milestone 4,T9,,13,Medium,2025-08-13,2025-08-19,Alice
Website Redesign,Milestone 4,Task 10 for Milestone 4,T10,,8,High,2025-08-22,2025-08-25,David
Mobile App Launch,Milestone 1,Task 11 for Milestone 1,T11,,12,Low,2025-08-18,2025-08-23,Bob
Mobile App Launch,Milestone 1,Task 12 for Milestone 1,T12,T11,4,Low,2025-09-01,2025-09-08,David
Mobile App Launch,Milestone 1,Task 13 for Milestone 1,T13,T12,17,High,2025-09-05,2025-09-08,David
Mobile App Launch,Milestone 1,Task 14 for Milestone 1,T14,,4,Medium,2025-09-01,2025-09-06,Charlie
Mobile App Launch,Milestone 2,Task 15 for Milestone 2,T15,,16,Low,2025-08-10,2025-08-15,David
Mobile App Launch,Milestone 2,Task 16 for Milestone 2,T16,T15,8,Medium,2025-09-08,2025-09-13,Bob
Mobile App Launch,Milestone 2,Task 17 for Milestone 2,T17,,13,Low,2025-09-04,2025-09-11,Bob
Mobile App Launch,Milestone 2,Task 18 for Milestone 2,T18,T17,5,Medium,2025-08-25,2025-09-01,Eve
Mobile App Launch,Milestone 3,Task 19 for Milestone 3,T19,,4,Low,2025-08-19,2025-08-21,Alice
Mobile App Launch,Milestone 3,Task 20 for Milestone 3,T20,T19,5,Low,2025-08-10,2025-08-11,Alice
Mobile App Launch,Milestone 3,Task 21 for Milestone 3,T21,,11,Medium,2025-09-08,2025-09-09,Charlie
Mobile App Launch,Milestone 3,Task 22 for Milestone 3,T22,,10,Low,2025-09-05,2025-09-07,David
Mobile App Launch,Milestone 4,Task 23 for Milestone 4,T23,,19,High,2025-08-25,2025-08-26,Alice
Mobile App Launch,Milestone 4,Task 24 for Milestone 4,T24,T23,11,Medium,2025-08-11,2025-08-15,Eve
Mobile App Launch,Milestone 4,Task 25 for Milestone 4,T25,,11,Medium,2025-09-04,2025-09-10,Alice
